Obesity_up,Obesity_down,Schizophrenia_up,Schizophrenia_down,PTSD_up,PTSD_down,MD_up,MD_down,Bipolar_up,BD_down
MSR1,IGFBP6,ADGRB2,SIX1,ZP1,BST1,,SNORA31,OR10K1,FNDC10
CRYAB,PRRT2,TMEM133,LOC100507534,PDE6C,STEAP4,,IER3,C15orf53,LOC440910
TM4SF19,TMEM151B,STK17A,MT1H,MGC45922,HPSE,,ASTL,IL21-AS1,CNTFR
SRPX2,MEG3,ZNF676,PSMB8-AS1,SNORA60,SMARCA5-AS1,,SERPINA3,LINC01216,CRTC1
NPR3,CBSL,LRRC37A2,TLR6,PKD1L1,AOC3,,SOCS3,CFHR2,LMO1
LOC101929726,CSRP2,CCNI2,ASGR2,GALNTL6,TAOK1,,SOCS7,C18orf63,FBXL16
MRPL45,LINGO2,NAIP,KRT5,OR2H2,ANPEP,,RN7SK,MIR598,JUNB
DMTN,STUM,PCDH10,STEAP3,MT1E,CYP4F3,,WDR38,DKKL1,PSD
STC2,RXFP1,NCAN,WNT2B,LOC102724714,ALPK1,,ITGB3,UCP1,JPH4
HOXC8,C4orf22,FBLN2,AKR1E2,USP9Y,ACAP2,,LAIR1,BORCS7,PCSK1N
CTSS,TNNT1,CDHR5,GEM,DKFZP434A062,RPP21,,HCG9,LINC01939,ZMIZ1
APBB1IP,KLK5,HCG22,IRS4,UBQLNL,LOC105370888,,RNA5S9,CXCL3,SH3BGRL3
ADA2,RGPD1,MICB,TFAP2B,CALY,B3GNT8,,TMEM189-UBE2V1,TMCO5A,CSTB
SNCG,PIK3C2G,UCN,MC5R,FBLN2,FCHO2,,CHI3L1,LYPD4,PTGDS
GPI,ASIC2,TCF19,NALCN-AS1,AURKC,PPP1R3B,,OR52E4,TSGA13,MINOS1
TRIM26,LHX9,TLE2,NEBL-AS1,VCAM1,SNX10,,ACTBL2,HS3ST3B1,EPN1
HLA-DRA,CFAP52,SCUBE2,TMEFF2,FGF7P6,HCAR2,,CXCL1,LOC100506142,PALM
HSPA1A,LPA,RBM46,DLGAP2,RDH12,SEL1L,,ADRA2B,GBP5,XAB2
HOXC6,C4B,RAMP2,MRGPRF,LINC01480,IGSF6,,LOC554223,MT1L,OLFM2
CES1P1,HSPA1L,RDH10,IL6R,ENPEP,SOD2,,ESM1,CEBPD,PLTP
ANGPTL4,RFLNA,LOC101927272,LXN,GIMAP5,S100A8,,LINC01668,GABRE,PRKACA
CD209,AHRR,STARD13,OLFML3,NPIPA3,DGCR5,,NUTM2F,GPR4,APLP1
FCGR2B,ADAMTS19,PDE8B,RBM24,MUC12,MNDA,,LOC100507600,MOG,PCGF5
MSC,AMN,ARHGEF28,HLA-DRB1,LOC102725019,ADORA2A-AS1,,SFN,CASP7,ZSCAN1
AQP4,FAM166B,FLRT1,CHRNA1,IRX3,HLA-DRB5,,TMEM210,GPRC5A,FAM127B
IRF8,HSD17B2,ARHGAP31,ITGB3,NPIPB15,NCF1,,OR2A7,OXTR,KCNK4-TEX40
FPR3,CTH,HIF1A-AS1,OTOGL,CCHCR1,KIAA0825,,HLA-DPB1,TIPARP,PRR7
ITGB2,ZDHHC11,ARHGAP42,PRSS35,CHST1,ZNF467,,TPSG1,CHST3,ATP5B
CD68,HLA-DRB1,PDLIM3,AZGP1,SYCE1,CHST15,,SNORD14E,ITGB4,HNRNPA3
CCDC3,VTN,LENG1,SERPINE1,OR5K2,HLX,,MUC5AC,AEBP1,AEBP1
CTSB,ATP13A5,ST8SIA3,SH3BP5,LOC101929657,ZCCHC6,,LINC01440,FGFRL1,VEGFB
LOXL2,MT1E,NPAS1,SYT7,RBAKDN,NFE2,,MIR4665,SDC4,PMM1
NQO1,LRRTM1,HS3ST1,CD74,LOC339260,ZFX,,CDH16,GSTTP1,CEND1
FCGBP,OVOS2,USP17L7,GABRQ,LILRA4,APC,,MIR1973,ATP1B2,COX2
CCND1,PTHLH,FAM180B,PROCR,KCNT1,TSHZ3,,LINC01686,RNF183,DPP7
LGMN,PLAG1,ZCCHC24,COLEC12,HOXA7,MRVI1,,WDR46,HOXC6,BAIAP3
ITIH5,PAX9,DDX25,DLX1,ADAM23,DDIT3,,MIR618,ALDH1L1,ATP6
TBX18,MIR221,PTPN3,HIC1,HEATR9,SULT1B1,,TP53TG3,ASB11,NLGN2
C1QC,CYP2D6,NPPA,C9orf135,KRBOX1,IFRD1,,MIR6724-2,MUC7,GRN
MMP7,S1PR3,SLC16A7,AP1M2,PSMA8,NUMB,,MIR6724-3,NYX,HAPLN4
EXO1,CCDC144A,KIAA1211L,GBP2,DDX43,TMEM45B,,MIR6724-1,LINC01490,FLOT1
SLC37A2,MMP24,FAM212B-AS1,PCDH20,CYP4F35P,ST6GALNAC3,,MIR6724-4,LINC01265,PRKCSH
CHI3L1,LLPH-AS1,ROBO2,PTPN5,C2orf40,UBN1,,IER3IP1,LOC399715,RBP4
PLAC9,ATF3,FOXO6,NR4A2,LOC101927237,C5AR1,,VPS52,CYP4F11,CYB5R3
WISP2,PCDHGC3,PHYHIPL,SLC16A11,LINC00515,NEU1,,C2orf78,HBB,MRPL12
HLA-DRB3,TSC22D3,NCAM2,ZC2HC1B,FLJ33534,IL1RAP,,NMRK2,DPCR1,ACOT7
MMP9,DPCR1,GABRA2,COL19A1,MALRD1,RARA-AS1,,KRT78,LMOD2,MEG9
ACP5,BTG2,RAPGEF3,LOC105378785,DFNA5,NINJ1,,LOC100129291,LOC101927523,PHLDA1
CD14,TFPI2,GPANK1,TFPI2,USP50,TREML3P,,LOC400541,CPN1,TGFB1
ITGB5,KIF5A,ITGA8,IAH1,PPM1E,TLR6,,LINC00994,KIAA0355,LMTK3
KYNU,DUSP5,C19orf81,TMC4,TBC1D26,ASAP1,,OR1N1,POU4F2,FUS
CCL18,SPEF2,TRIM58,DLK1,C1QC,RAB11FIP1,,FCER2,HOXA2,ZNF580
HOXC9,ST6GAL2,STUM,VDR,KIR2DS5,SRGAP2B,,CTRB2,LOC105377480,BANF1
MPEG1,RBP1,FAM182B,IL11,LOC105369971,PANX2,,HCG17,IFNA4,NT5DC2
SYNPO,MIR214,FAM182A,C19orf66,TEKT1,OSBPL8,,TCTEX1D4,ALDH1L1-AS1,FAAP20
AKR1C3,CD69,TMEM100,TUSC8,WNT16,FAM129A,,SPATS1,CRYBA1,DEAF1
HSPA1B,PRLR,ITGB5,PITX2,SLC10A4,PTAFR,,RPP21,R3HDML,TMEM179
DMRT3,MIR199A2,SOX9-AS1,SLC46A3,TNFRSF11A,TLR8,,LOC102724701,GBP2,C20orf27
PLIN4,LINC01554,SKAP1,AACSP1,KANSL1-AS1,ENTPD1,,UCN2,ANGPT2,IDH3G
MS4A6E,RGPD2,HTR2C,TNNT1,FAM167A,SLC12A6,,MIR4801,WWTR1,GSTT1
IL1RN,DXO,MEOX2,GP5,MAPT-AS1,QKI,,TRIM27,FGF2,MANBAL
TUBB2A,PCDH10,SOX18,NT5E,BCORP1,LRG1,,NLRP5,MLC1,CTSD
F13A1,TRPC4,ARC,PIEZO2,ALOX12B,FAR2,,LOC390877,OR8G1,IGFBP2
RHOXF1,LOC642366,PPP1R11,TMEM200B,NUPR2,GPAT3,,FGFBP2,LINC00479,PLXNA3
ALDOB,SRGAP2-AS1,BDNF,PTH2R,COLCA2,THBD,,PCAT19,MIR4450,HK2
LOC653786,CLEC4M,TRPC3,RBP5,DEAF1,MPZL1,,GSTM1,NR1H4,RPLP2
CSMD1,FMO1,CYP2A6,C3AR1,TRIM39,FAM63A,,MFRP,CGB2,RAB1B
HLA-DPB1,SLC16A9,ATP2B2,CLDN6,CTAGE15,NCOA4,,FNDC11,NFE2,B4GALNT4
KLHL30,RXRB,CPNE4,IL15RA,SGK2,TMPPE,,DNAJB5-AS1,CYP21A2,PPP1R14B
C1QA,PGR,TRABD2B,ADAM12,CHDH,TLR1,,AADACL2,CT83,HSPB1
A4GNT,TMEM196,SUSD4,TNFRSF14,NOMO1,AP3B2,,NXN,CDKN1A,PTPRN
RASA3,RNF5,ABCC6P2,ZNF630,NXPH4,ADGRE3,,LINC00972,OR8J1,CRIP2
FFAR3,ZNF556,PLEKHH2,RNF144B,CD1E,CLEC7A,,GPANK1,MT1G,MLF2
FOLR2,PPT2,VAX2,LENG8-AS1,PIGY,TGM3,,RNF5,HORMAD2,PABPC1
SYNC,LOC100505635,ZNF560,HCP5,LOC105373818,CKAP4,,ALS2CR4,OR6M1,ATP5E
LINC00645,C6orf48,RDH10-AS1,MICAL2,CCR8,HSDL2,,DCAF5,STATH,PSMC5
IFI30,FBXL16,RGS7BP,WNT9A,RETN,CCPG1,,TRIM13,TMEM89,PTMS
KRTAP13-4,C4BPA,PTP4A3,LRRC2,CCL3L1,DUSP1,,GJA1,TMPRSS11A,PNMA1
NRP2,EXTL1,THSD1,MIR1289-1,ARHGAP44,OVCH1,, TOP1P1,LINC01288,NDN
SYK,SERPINE1,KCND3,LOC100130111,DNASE1L3,TSPAN16,,EDEM3,FOXA2,WBP2
CD74,TAP1,PODN,CASS4,DNAH12,MPP1,,MED12L,TRIM31,TNFRSF11B
HLA-DRB4,KRT18,LINC00173,PROSER2,ROR1,PBX2,,SLC7A11,EVX2,NDFIP1
SERINC2,IL20,LKAAEAR1,RBM11,SERPINA2,IL6R,,PRKAR2A,XKR3,ABHD17A
HLA-C,CDH17,C15orf59,PSMB9,NSF,PAK1,,RAPH1,LINC01502,GABBR1
SLC35C1,C9orf47,PITPNM3,ANXA3,SNORA1,RIT1,,RBKS,CASC16,NPC2
LAMB3,SULT2B1,TNFSF9,RALYL,UPK3B,MCL1,,KIAA1432,LINC02227,RNF157
SLAMF9,ABCA12,TMEM221,NALCN,TNFRSF17,CNTNAP3,,CEP76,OC90,RAB7A
ARL11,CASKIN1,RGS6,ABCA4,PRB3,ZDHHC18,,LPAR1,IL18RAP,PREX1
PKD2L1,ISL1,ARID3C,GDNF,LHB,HK2,,ZNF252,NLRP9,SCAND1
IGSF6,SLN,DUSP15,SNORD3B-2,TUBB,NFAM1,,ZNF776,AXDND1,UBQLN2
APOC2,CACNA1G,THY1,GALNT6,CALML6,ROPN1L,,GOLGA3,PLIN4,PIGT
DNASE2B,PAPPA,LOC102724392,ALDH3B2,KLKB1,TALDO1,,SURF1,FGB,RNASEK
LINC01494,TF,FGF1,FERMT1,PRSS50,KCNJ2,,CSRP1,SMILR,STK24
HLA-DQA1,COL11A1,TMEM54,COL4A6,NPIPB8,AGO4,,RAB8A,LILRA5,WIZ
EN1,IFNA13,ADRA2B,GCK,YAP1,FAM214B,,KLHL3,LOC101929210,KLF16
ADAM12,KCNT2,ABLIM2,BFSP1,HLA-F,RFX2,,MAP3K7,LOC101928618,NELFE
C1orf198,LOC285095,TBX2-AS1,BBOX1-AS1,TAS2R5,CACUL1,,PPM1A,MIR5094,TMBIM4
HOXC5,NELL2,CRB1,HOXC5,DBH-AS1,CEBPB,,RSL1D1,POTEB,MLLT1
KCNJ5,ZNF816-ZNF321P,ZFP3,CRYBB1,AKR1C4,BEST1,,ACAD9,STK17B,SLC25A6
LINC00334,KRT7-AS,MIR663AHG,TICAM1,B3GNT3,RCOR1,,ATRN,BRD2,NRSN2
IGSF1,SLC19A2,ENDOD1,VWA7,CPLX3,BNIP3L,,RAD18,CECR3,IFITM2
PPP1R11,BCAS1,SLC26A1,BTBD11,SEPT4-AS1,NCF4,,GNAI2,HOXA13,CNIH2
AOC1,DMRTA1,DNAH11,SLC9A7,LOC101928043,RXRA,,C6orf72,HCAR2,PFN1
MGAT3,LINC01028,MPPED1,TUBA4A,CGB7,MIR6069,,VWA5A,RPL31P11,QSOX1
TLCD2,POM121L9P,SLC9A2,TMEM86A,LRCOL1,ABTB1,,FSTL4,LOC105372179,GBE1
CD248,TMEM151A,NTNG1,TACSTD2,RNA5-8S5,RGS2,,CDH11,PKHD1L1,PPP2R1A
MRC1,GPAT3,CSRP1,EHF,CLIC6,SIPA1L2,,DKK3,BCORP1,SORBS3
TNIP1,SCEL,SALL3,LOC388882,LOC101929148,PLB1,,ATM,RNF122,RPL14
FOPNL,TIPARP,JMJD1C-AS1,MAF,TPSD1,GBP6,,METTL2B,RAB20,ZNF428
PLEK,EGR1,MYO5C,TMEM173,GDF10,IMPA2,,EPHA6,STC1,PRPF8
GNG2,BDH1,SPARCL1,FBXO32,HORMAD2,ABCA1,,TSPAN6,GBP1P1,TMEM163
ADRA2A,TCTE1,SLIT1,TMCC3,GATA3-AS1,TMEM33,,DDX3Y,SLC1A3,IFI6
RNF17,LINC01829,TXLNB,HRC,ZNF436-AS1,NOS1AP,,COG3,GUCY2F,FLOT2
HOXC-AS1,SHROOM2,HAPLN2,LAD1,NKAIN4,SIRPA,,TET3,CCDC175,PCBP1
LCP1,MIR924HG,GRIA3,PRSS12,C19orf18,PICALM,, ZNF117,GBP3,WSCD1
ITGAM,BTNL8,NPTX2,ATF6B,SAPCD1,LINC00282,,CRADD,LOC101927686,KCNK13
SEMA3G,PPP1R11,ITGA7,LINP1,RPL10L,ZBTB34,,LAP3,ASB15,MT2A
C1QB,LOC101929237,KRTAP5-7,PLEKHF1,LOC102723481,ARID3A,,QKI,MIR4510,CUTA
LINC02227,ACTA2-AS1,ZNRD1ASP,RHBDF2,MIR8071-1,DRC1,,ZNF121,GK2,TP53INP2
CCL19,HBB,PCDHAC1,REPS2,MIR8071-2,RASSF2,,UEVLD,OR2J3,SLC25A39
MRAP,SLC12A1,SHISA4,LYPD3,MAFIP,KIF1B,,NIP7,KIAA0040,C1orf198
WDPCP,TGM1,C2orf72,MAB21L1,FANK1,LPGAT1,,CTNNA1,LOC105369486,EIF5A
TREM2,MIR17,CFAP77,APCDD1L-AS1,ABCA6,SKIL,,USP25,AHSP,MGAT4B
ABHD11-AS1,NTRK3,GPR37L1,ACCS,PRRT1,PISD,,DPM3,HLA-DPB1,DIRAS3
CLEC10A,PI4KAP1,TYRP1,TNNI3,LOC101927531,IL1RN,, GPR89C,IL1R1,ZYX
SPI1,SYT17,DAXX,CCDC68,LINC00689,AOC2,,H3F3B,LINC02203,MAPK3
TYROBP,PXT1,HR,PERP,LOC101060389,PLIN4,,ZNF667,TMCO2,PCGF2
POPDC3,LOC101929653,MIR421,HSPA1L,GPR33,ATP6V1A,,PCDH17,LIPM,SDR39U1
IL25,GPR78,PRSS54,LGALS3,RAD17,TRIM25,,ETV5,CXCR1,SEZ6L2
LOC105376527,SPDYE18,HAPLN1,DCDC2,HSD17B6,EIF1AX-AS1,,MOBKL2B,LOC102723655,VAT1
MSTO1,STMN2,DNAH5,C10orf90,LOC730101,LUCAT1,,KRR1,C4B,CCDC92
DDX39B,SPATA17,GRM4,SERTM1,LOC646588,ACOX1,,ZFAND5,EFEMP1,ISYNA1
LY86,PBX2,PTPRU,DDX39B,SOAT2,SOS2,,LRRC34,CEACAM20,SCAF1
ST14,PGBD3,CORO7-PAM16,PLCZ1,OR52N4,JAML,,CIAPIN1,LOC101927829,RABAC1
EPDR1,LINC01845,ZNF135,UGT2B4,ABCF1,ADPGK-AS1,,TPX2,CCL25,PSMF1
ALDH4A1,IL19,CLVS2,MAP1LC3C,POU5F1,NFAT5,,GALNT2,GLI3,NEU1
LAPTM5,TSPYL2,CNTN4,C10orf55,VIT,DAPK2,,PDZD2,LOC100288966,PLEKHG5
PALMD,PRSS37,LINGO4,APOL1,FAM19A1,ALPK3,,APITD1,TMIGD1,NAPA
ATP6V0D2,SLC6A4,USP2,LINC00706,LINC00599,CREBRF,,MLLT4,LINC01917,LINC01260
TEX26,ZDHHC11B,LIX1,HLA-DMA,MUC4,B3GNT5,, SLC2A3,AGR2,CCNI2
PTAFR,GJA1,SPRY3,HLA-DRA,AMY2A,DENND3,,RRM1,SLC44A3,C1QTNF5
LGALS9,ERICH6B,MPPED2,TRIM4,SNORA50A,AMPD2,,TMED5,BMPR1B,ZCCHC12
ALAS1,LOC107986703,PCDHB17P,TMEM108-AS1,LGI4,KLHL15,,DARS2,CFAP126,DGKZ
ZBED3,HLF,GNAO1,TMEM130,PCDHB15,SMG1P3,,POGK,PRKX-AS1,MAPK8IP2
LAIR1,MAATS1,RAB44,LOC101929745,FLJ33360,SIGLEC9,,ZNF271,FKBP5,POLR2L
LYZ,HIGD1C,FASLG,CYB5R2,CCDC89,MTMR3,,MRO,C6orf10,VAMP2
HAVCR2,SCNN1D,MIR1915,CTSC,KCNS3,BASP1,,KCTD20,IL27,ATP13A2
SSTR5-AS1,PCDHA5,FAM135B,TEX11,SNORA51,CPD,,BLZF1,LOC101929488,CMIP
C5orf30,GSN,CFAP126,HOXC4,GALNT18,LINC00189,,UGT8,LOC100131635,CCDC124
CTSZ,LINC00954,ADCY8,MYOF,MIR4538,SCLT1,,PLEKHB1,HLA-B,C5orf49
UCHL1,BACH2,PDGFRB,IFI35,CEMP1,NRXN1,,S100B,SLCO1C1,ATP6AP1
FCGR3A,FADS1,KL,CDH9,VMO1,LOC286059,,GOLIM4,COX7B2,S100B
IGSF21,FBXO40,NYNRIN,LOC101926897,RNY3,RPS6KA5,,DNAJB5,COL6A5,AES
HCK,TRIM55,COL26A1,LSM14A,GH1,LMNB1,,C20orf199,OR6Q1,GNAS
PIK3C2B,DNER,PPP1R1B,EFEMP1,LINC00564,JAG1,,C11orf58,NMRAL2P,TBC1D3I
ADM,NKAIN4,STAC2,PARVG,KDM5D,BTNL8,,VPS18,HBD,INAFM1
SNTG2,MTCYBP35,CYP26B1,TMBIM1,FAM107A,FOXO4,,CHM,UCMA,CCDC103
CYP26B1,GPX2,LOC105373580,RERGL,RPS9,GZF1,,ZNF675,IL22RA2,DDX19A
TPI1P2,LOC730338,BEAN1,CXCL16,APCDD1L-AS1,MAP3K14,, SMPD4,LYZL1,SMN1
SNX10,ACSBG2,CACNB2,RHOD,LRRC37A2,MAP1LC3B2,,TMEM209,EN1,GPAA1
GPX1,LOC730101,BMX,RPP21,CKMT1B,CCNJL,,MCFD2,TTR,BAX
NMT2,FAXC,SPX,CPQ,KIR3DS1,SIGLEC5,,SPARC,PGAM2,LAMTOR1
HSD11B1,FZD3,FGFR2,NKX2-2,GSG1L,SLC43A2,,SPOP,APOBEC1,GPX1
PRKCD,LINC00636,ZNF467,CPNE7,GPC4,MEFV,,FADS2,CPSF4L,SPRY2
TRIM16L,LOC102724428,TARID,HOXC8,MIR7641-2,DOK3,,ADAMTS3,LINC01809,NDUFA13
LY6G5B,T,TRIL,ATP6V1G2-DDX39B,SKOR2,LINC01317,,RHOBTB3,NTRK3-AS1,CHPF
SHTN1,NETO1,GZMM,HS3ST4,MOG,ADAM32,,CASP3,LOC100507600,HCN2
EPB41L1,FABP7,CACNA1G,MT1L,,MID1IP1,,MKRN1,RNU5D-1,PLD3
UPK1A,CYP2J2,BEGAIN,KRT19,,TNFRSF10B,,CDCA7L,LOC101929297,FSCN1
GAS2L2,SCN8A,PLEKHB1,BAG6,,CEACAM1,,KIAA1430,LOC101927450,ATP5D
HS3ST2,SULT1E1,LRIT2,F13A1,,SLC6A8,,CHST10,LOC105376490,DDIT4
OSGIN1,LOC102724404,CASC16,MAP7,,OOSP1,,CLCC1,OR2A2,TMED9
TMEM54,COL20A1,GSTT2B,LINC00494,,LOC102724231,,PPP1R8,CCL2,BRI3
INHBB,TUNAR,CFAP70,LRRN4CL,,F2RL1,,S1PR1,ZNF280A,TRAF4
FTL,LENG8,LIMS2,STAB2,,OAZ2,,RBM39,SMO,TUBB2A
HOXD8,ANXA8,LOC102724231,VAX1,,FOS,,DDX42,TRIM49C,NME4
CR1,APLP1,MICA,NRAP,,GATAD2B,,KDM5D,RN7SK,SSBP1
UMODL1,MUC20,ALDH3B1,ITGBL1,,NECAB2,,NFIA,LINC01716,SPRN
SELE,NAT2,RNF112,PADI2,,GUCY2C,,HSPA4,SLC7A11,CAPNS1
COTL1,KIFC1,PCA3,MT1G,,C5orf67,,HKR1,ODAM,DYNLRB1
SAMD4A,KRT8,CHST9,VSX1,,ST20-MTHFS,,GPR21,ARHGEF26-AS1,RNASEK-C17orf49
CSF2RB,ERRFI1,LOC105372352,RNVU1-6,,MANSC1,,LYPLAL1,OR7G3,NWD2
CTSD,LOC285556,FRMD3,LINC01173,,OGFRL1,,HEATR3,LINC02135,CAPZB
LINC01402,APOC4,LINC00158,ABR,,C4A,,CCDC109A,LOC101927769,CPVL
VSIG4,LINC01671,ADAMTS1,TCEB3CL,,PDLIM7,,PXK,MIR219A1,ARHGAP1
ZNF98,FAS,SNED1,STPG3,,CPEB2,,GNA13,LINC01020,SBK1
KANK4,GCM2,NPFFR2,C1R,,TM6SF1,,GSPT2,CP,IRF2BPL
SYTL4,TRNP1,KLF1,CARD16,,RNF103-CHMP3,,CCDC115,SAXO1,SELENON
IMPDH1,CCDC190,TRIM49B,CECR1,,IL1R1,,RARS2,NPHS2,LENG8
ZNF503-AS1,ZNF286A,CACNG1,IGFBP7,,TNFSF13B,,MAP7D1,UGT2B4,EFCC1
VLDLR-AS1,TMPRSS3,WSCD2,OCA2,,FHDC1,,EIF5,SKIV2L,NDUFS8
EXD1,PLCXD2,NR4A3,ZIC4,,CYB5R4,,APCDD1,OR4K14,SMARCA4
PDE6G,IGSF9B,EGLN3,CACNA2D3,,YPEL5,,SOCS4,BPIFC,HCFC1R1
PEMT,RPS26,DHH,ENPEP,,WDFY4,,TOR1AIP2,AADAC,LAMTOR5
ZNF541,ANKRD7,NKD1,USP43,,NCF2,,PRKCG,CD1B,VEGFA
CLEC4G,ANKK1,CER1,HSPA1B,,ARHGEF40,,CNOT6L,ND6,ZACN
RBFOX3,CSDC2,CDHR1,RASSF9,,FPR2,,MEGF8,LINC00301,RASA3
RETSAT,ADAMTS1,CYP21A1P,LOC105375483,,ELL,,UXS1,MIR128-1,WDR46
MS4A7,AMER2,LINC01336,CHRND,,NOV,,RUNX1T1,ADAD1,AMH
RAPSN,FLG-AS1,CXCL10,TACR1,,HLA-DMA,,MCCC1,LINC00879,CEP170B
DHRS9,CBLN4,WDR63,IL13RA1,,SPTY2D1,, LOC729080,TOPAZ1,ARL16
IL4I1,POF1B,DGKK,ATP6V0A4,,EPHB1,,NTRK2,SNHG25,CIC
GRHL1,CCDC83,SEMA6D,HES2,,MAP7D2,,ABHD6,BCL2A1,MATN2
NPL,LOC101927359,CYP3A4,KCNMB2,,TRPV5,,DNAJA4,LINC01017,NPTXR
PPP1R27,NTS,NPTXR,FGFR4,,IFNAR1,,POLR3GL,KPNA7,UBXN6
CCL8,MGAT4EP,LILRB3,NEUROG1,,NDE1,,TMEM87A,ZC3H12A,GPX4
HCAR2,LILRB4,MYOM2,C1QL2,,NLRP12,,NDUFB9,MPIG6B,MTRNR2L1
DUSP10,DNM1P46,SLC1A3,STRA6,,FFAR2,,BCAS1,REG1A,GFRA1
AMPD3,NCAM2,AGT,DHX58,,RBP7,,MTUS1,TNFRSF13B,B3GALT4
CCDC85A,CACNA2D3-AS1,UNC5B-AS1,SLFN13,,PTGS2,,ZNF780B,LINC00867,USP11
NBPF6,DMC1,MIR663B,MSX2,,FBN2,,WLS,DAOA,TMEM246
SPATA9,B4GALNT3,RIMBP2,CPA4,,PPT2-EGFL8,,ULK2,LINC01801,NACAD
FCER1G,PAEP,SORCS2,ZMYND15,,MYO1F,, TYW1B,AMY1C,MSMP
TBX15,GPR22,SMARCA2,ANXA8,,BEND7,,SHC4,LINC02114,SLN
TMEM139,LOC101927809,LOC101929479,COL11A2,,ITPK1,,PTPN21,LINC00307,LINC00565
CD300LB,EML5,LOC100506885,LOC645166,,CSF2RB,,KPNA6,ITLN2,ATP6V0E2
CYTH4,ST8SIA6,CACNG5,NRG2,,FCAR,,GPR37L1,WBSCR28,SH3PXD2B
NANOS1,SLC44A5,TMEM27,H19,,NR6A1,,SMC4,CLEC6A,PPT2
SKIV2L,WNT2B,KCNQ3,LRRC15,,ITGAX,,ZNF275,TAP2,P4HTM
C3AR1,YIPF7,TAS2R31,DNAJB5-AS1,,VEGFA,,GPN1,SSX2B,CDKN2A
GOLGA7B,RIMS2,PCDHGB4,ATP13A5,,SLC12A1,,SPATA20,DSG4,NCSTN
ABCF1,DDR1,LAMA4,EPSTI1,,S100P,,PTP4A3,TMPRSS11E,VASN
MPZ,LRRD1,MAOA,SLCO6A1,,SP1,,MAGT1,TECTB,COPS6
PISD,LINC01237,DLC1,SIAH3,,NKX3-1,,1-Mar,SNORA26,PPP4C
TRPM2,NAA11,LOC105377590,PLPPR4,,CCDC125,,C8orf4,FGA,ADGRL1
TSKU,CPNE4,MIRLET7BHG,MUC20,,LST1,,DBNL,LOC100287704,UBA1
SIM2,EHMT2,RXRG,CCKAR,,TMCC1,,ZNF564,PDZK1IP1,EFHD2
CHRNA1,MIR135A1,TTLL9,CXCL2,,FCGR1B,,NDRG1,LOC101928659,METRN
DOK3,FBXO39,TUBB8,ABCG2,,FUT7,,ZNF331,HLA-DQA1,UQCR11
SULT1A1,LOC100505851,HLA-DOA,SNCB,,KLHL2,,KRCC1,ARHGAP11A,CDK16
FADS3,PCDHB11,LINC01152,PAX3,,YTHDF3,,ACADVL,ZFP36,COTL1
KCNK13,SGIP1,GPD1,SDC4,,MPZL3,,BBS9,BATF2,ABCA2
LIPA,TMLHE-AS1,RPH3A,ETV3L,,LOC102477328,,GALNT1,OR5AK2,RPL17
FGF8,PCDH20,RAET1E-AS1,MAP3K7CL,,ZBED6,,TFR2,OR7G1,SPRY1
ADAP2,HS3ST1,ELN,CD40,,NOTCH1,,PIP4K2A,GGTLC2,SP110
APLNR,HNRNPA1P33,PTPRCAP,RARRES1,,SLC11A1,,SDR16C5,ND3,UBALD2
ACSF2,EPGN,ADCY5,WNT1,,CMTM1,,GPD2,MIR3660,ADGRB2
PNMAL2,WDR49,OXCT1-AS1,CCL2,,CXCL1,,RIOK2,LINC00904,SDHC
LINC01060,MMP23B,CDH13,RAB11FIP4,,TLE3,,LIFR,ALKAL1,DAP
NETO2,CST6,VSIG2,ISPD-AS1,,STXBP5,,POLR3E,SSX1,TM7SF2
DHDDS,FLJ12825,CABP7,HCG27,,CCDC186,,TMEM135,OR4K1,CLPP
IRX3,CFAP43,NNAT,OTX1,,FOXD4,,ARL6IP4,TGM4,C9orf172
RENBP,DOCK3,HYAL4,MICALCL,,SLC22A1,,UBR7,MROH2B,ARHGDIG
LOC101928896,LOC105377623,CADPS,OR7E12P,,ECE1,,ERBB4,LOC107987066,KCNF1
CD84,DTHD1,THSD4,NUTM2F,,RASGRP4,,RPS23,OR4D10,COMMD4
CYBB,RNF175,DMRT3,APOL3,,PPP4R1,,ZNF3,POTEF,RAC3
KCNA6,ADH1A,SYN1,IFITM3,,FGL2,,KAL1,OR1J1,FAM57B
LFNG,MIR29A,CISTR,SLC24A5,,HIST2H2AA4,,UBE3B,C14orf177,AP2S1
RDH5,NR4A3,RASAL1,KCNMA1,,PLIN5,,IGF2R,CASC23,RXRB
HLA-L,NR4A2,NFIA-AS1,PANX2,,XKR8,,ELOVL5,CRISP1,RPRM
CSNK2B,PPP2R3B,KCTD12,SLC24A2,,RNF19B,,RASSF8,KRTAP4-1,THY1
DTX1,TMEM198,COL14A1,DLX3,,LOC400499,,CHADL,LINC02372,PKN1
ITPK1,IZUMO4,PTPRT,RBFOX2,,TRIM10,,TMEM47,FABP4,ENO2
NCF1B,PRTG,RUBCNL,NPS,,ST3GAL6,,GAPVD1,MIR6129,POM121
NRROS,STOX1,CD9,MIR933,,AOC4P,,UBE2W,FOLR3,MRPL53
HOXA10,ZNRD1,PCDHB8,THRB,,ABCG1,,SLC25A37,MIR148B,RTL1
C1orf127,NR1I2,ABCB4,LOC101927751,,CREB1,,HIBADH,HOXC8,MANSC1
CD163,PCDH15,CD81-AS1,ARHGAP27,,FAM49A,,FRY,CSF2,CSDC2
